tool_id,experiment_id,physical_experiment_order,recorded_signal_order,physical_experiment_performed,raw_signal_recorded,missing_reason,axial_raw_files,rotational_raw_files,expected_contacts,valid_contacts,missing_contacts,has_vb_target,vb_value,vb_source_file,has_vs_value,vs_value,vs_source_file,official_target_status,include_in_signal_modeling_candidate,include_in_feature_modeling_candidate,include_in_trajectory_analysis_candidate,include_in_pinn_sensor_input_candidate,data_origin_status,notes
T01,66,1,1,True,True,,7,7,6,6,,True,85,data/raw/targets/vb_targets.csv,True,103,data/targets/microscope_vs.csv,unconfirmed (VB vs VS pending lab Q1/Q2),True,True,yes,True,unconfirmed (README NUAA/PHM2010 vs in-house narrative - pending lab Q7),
T01,67,2,2,True,True,,7,7,6,6,,True,103,data/raw/targets/vb_targets.csv,True,108,data/targets/microscope_vs.csv,unconfirmed (VB vs VS pending lab Q1/Q2),True,True,yes,True,unconfirmed (README NUAA/PHM2010 vs in-house narrative - pending lab Q7),
T01,68,3,3,True,True,,7,7,6,6,,True,119,data/raw/targets/vb_targets.csv,True,121,data/targets/microscope_vs.csv,unconfirmed (VB vs VS pending lab Q1/Q2),True,True,yes,True,unconfirmed (README NUAA/PHM2010 vs in-house narrative - pending lab Q7),
T01,69,4,4,True,True,,7,7,6,6,,True,136,data/raw/targets/vb_targets.csv,True,136,data/targets/microscope_vs.csv,unconfirmed (VB vs VS pending lab Q1/Q2),True,True,yes,True,unconfirmed (README NUAA/PHM2010 vs in-house narrative - pending lab Q7),
T01,70,5,5,True,True,,7,7,6,6,,True,150,data/raw/targets/vb_targets.csv,True,148,data/targets/microscope_vs.csv,unconfirmed (VB vs VS pending lab Q1/Q2),True,True,yes,True,unconfirmed (README NUAA/PHM2010 vs in-house narrative - pending lab Q7),
T01,71,6,,True,False,acquisition_not_recorded,0,0,0,0,,False,,,True,159,data/targets/microscope_vs.csv,unconfirmed (VB vs VS pending lab Q1/Q2),False,False,conditional_on_official_target,False,unconfirmed (README NUAA/PHM2010 vs in-house narrative - pending lab Q7),physically performed but signal acquisition was forgotten (lab clarification 2026-06-12); VS value exists but unconfirmed as official; do NOT fill with synthetic signals as if real
T01,72,7,,True,False,acquisition_not_recorded,0,0,0,0,,False,,,True,170,data/targets/microscope_vs.csv,unconfirmed (VB vs VS pending lab Q1/Q2),False,False,conditional_on_official_target,False,unconfirmed (README NUAA/PHM2010 vs in-house narrative - pending lab Q7),physically performed but signal acquisition was forgotten (lab clarification 2026-06-12); VS value exists but unconfirmed as official; do NOT fill with synthetic signals as if real
T01,73,8,6,True,True,,7,7,6,6,,True,168,data/raw/targets/vb_targets.csv,True,176,data/targets/microscope_vs.csv,unconfirmed (VB vs VS pending lab Q1/Q2),True,True,yes,True,unconfirmed (README NUAA/PHM2010 vs in-house narrative - pending lab Q7),
T01,74,9,7,True,True,,7,7,6,6,,True,190,data/raw/targets/vb_targets.csv,True,181,data/targets/microscope_vs.csv,unconfirmed (VB vs VS pending lab Q1/Q2),True,True,yes,True,unconfirmed (README NUAA/PHM2010 vs in-house narrative - pending lab Q7),
T01,75,10,8,True,True,,7,7,6,6,,True,215,data/raw/targets/vb_targets.csv,True,189,data/targets/microscope_vs.csv,unconfirmed (VB vs VS pending lab Q1/Q2),True,True,yes,True,unconfirmed (README NUAA/PHM2010 vs in-house narrative - pending lab Q7),
T01,76,11,9,True,True,,7,7,6,6,,True,245,data/raw/targets/vb_targets.csv,True,200,data/targets/microscope_vs.csv,unconfirmed (VB vs VS pending lab Q1/Q2),True,True,yes,True,unconfirmed (README NUAA/PHM2010 vs in-house narrative - pending lab Q7),
T01,77,12,10,True,True,end_of_life_contacts_p5_p6_missing_both_axes,5,5,6,4,A77_p5;A77_p6;R77_p5;R77_p6,True,280,data/raw/targets/vb_targets.csv,True,212,data/targets/microscope_vs.csv,unconfirmed (VB vs VS pending lab Q1/Q2),True,True,yes,True,unconfirmed (README NUAA/PHM2010 vs in-house narrative - pending lab Q7),end_of_life=1; only 4/6 contacts valid; cause pending lab Q5; usable with caveat
