file_path,origin,file_type,size_bytes,modified_date,likely_role,consumed_by_script,produced_by_script,status,notes
.git,worktree(branch),none,71,2026-06-11,,,,present,
.github/workflows/ci.yml,worktree(branch),yml,2361,2026-06-11,CI,,,present,
.gitignore,worktree(branch),none,1477,2026-06-11,,,,present,
LICENSE,worktree(branch),none,1088,2026-06-11,,,,present,
README.md,worktree(branch),md,31484,2026-06-11,,,,present,
config/physics.yaml,worktree(branch),yaml,1681,2026-06-11,physics/config yaml,"derive_rul.py, pinn scripts",manual (P4),present,
data/README_data.md,main-repo data/ (gitignored),md,8083,2026-05-20,,,,present,
data/external/README.md,main-repo data/ (gitignored),md,95,2026-05-20,external datasets placeholder (empty),,,present,
data/interim/.gitkeep,main-repo data/ (gitignored),none,0,2026-05-08,intermediate features,,,present,
data/interim/augmentation/train_augmented_feature_noise.csv,main-repo data/ (gitignored),csv,119633,2026-05-13,"augmented train folds (P1, training-only)",,,present,
data/interim/augmentation/train_augmented_feature_scaling.csv,main-repo data/ (gitignored),csv,120270,2026-05-13,"augmented train folds (P1, training-only)",,,present,
data/interim/augmentation/train_augmented_grouped_scaling.csv,main-repo data/ (gitignored),csv,120323,2026-05-13,"augmented train folds (P1, training-only)",,,present,
data/interim/contact_features.csv,main-repo data/ (gitignored),csv,35339,2026-05-13,intermediate features,build_dataset.py (aggregation step),build_dataset.py,present,
data/manifest/t01_canonical_definition.csv,worktree(branch),csv,3349,2026-06-11,data manifests (P7/P7.0),P7 documentation,P7 session 2026-06-11,present,
data/manifest/t01_manifest.csv,worktree(branch),csv,35342,2026-06-11,data manifests (P7/P7.0),P7 documentation,refocus session 2026-06-11,present,
data/processed/.gitkeep,main-repo data/ (gitignored),none,0,2026-05-08,model-ready datasets,,,present,
data/processed/_t_agg.csv,main-repo data/ (gitignored),csv,21040,2026-06-09,model-ready datasets,,,present,
data/processed/_t_agg.csv.meta.json,main-repo data/ (gitignored),json,176,2026-06-09,model-ready datasets,,,present,
data/processed/_t_bad.csv,main-repo data/ (gitignored),csv,21040,2026-06-09,model-ready datasets,,,present,
data/processed/_t_bad.csv.meta.json,main-repo data/ (gitignored),json,176,2026-06-09,model-ready datasets,,,present,
data/processed/_t_tgt.csv,main-repo data/ (gitignored),csv,201,2026-06-09,model-ready datasets,,,present,
data/processed/experiment_features.csv,main-repo data/ (gitignored),csv,38302,2026-05-13,model-ready datasets,"run_layered_pipeline.py, run_time_aware_baselines.py, run_pinn*.py, derive_rul.py, uncertainty_analysis.py",build_dataset.py / ingest.py,present,
data/processed/experiment_features.csv.meta.json,main-repo data/ (gitignored),json,158,2026-06-09,model-ready datasets,,,present,
data/processed/modeling_dataset.csv,main-repo data/ (gitignored),csv,38184,2026-05-13,model-ready datasets,legacy consumers,build_dataset.py,present,
data/raw/acoustic/full_signals/.gitkeep,main-repo data/ (gitignored),none,0,2026-05-08,raw acoustic emission (UNUSED by current features),,,present,
data/raw/acoustic/segments/.gitkeep,main-repo data/ (gitignored),none,0,2026-05-08,raw acoustic emission (UNUSED by current features),,,present,
data/raw/full_signals/.gitkeep,main-repo data/ (gitignored),none,0,2026-05-08,raw full-length vibration signal,build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/full_signals/A66_parsed_modified.txt,main-repo data/ (gitignored),txt,108539136,2026-04-21,raw full-length vibration signal,build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/full_signals/A67_parsed_modified.txt,main-repo data/ (gitignored),txt,122740022,2026-04-21,raw full-length vibration signal,build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/full_signals/A68_parsed_modified.txt,main-repo data/ (gitignored),txt,118299420,2026-04-21,raw full-length vibration signal,build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/full_signals/A69_parsed_modified.txt,main-repo data/ (gitignored),txt,116973898,2026-04-21,raw full-length vibration signal,build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/full_signals/A70_parsed_modified.txt,main-repo data/ (gitignored),txt,180702906,2026-04-21,raw full-length vibration signal,build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/full_signals/A73_parsed_modified.txt,main-repo data/ (gitignored),txt,119311902,2026-04-21,raw full-length vibration signal,build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/full_signals/A74_parsed_modified.txt,main-repo data/ (gitignored),txt,106991497,2026-04-21,raw full-length vibration signal,build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/full_signals/A75_parsed_modified.txt,main-repo data/ (gitignored),txt,103303209,2026-04-21,raw full-length vibration signal,build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/full_signals/A76_parsed_modified.txt,main-repo data/ (gitignored),txt,110448300,2026-04-21,raw full-length vibration signal,build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/full_signals/A77_parsed_modified.txt,main-repo data/ (gitignored),txt,102002068,2026-04-21,raw full-length vibration signal,build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
data/raw/full_signals/R66_parsed_modified.txt,main-repo data/ (gitignored),txt,115050418,2026-04-21,raw full-length vibration signal,build_dataset.py / ingest.py / run_signal_qa.py,"upstream (DAQ export, parsed_modified)",present,
